ship battle result
Arizona "Pearl Harbor" sunk
Bismarck "Denmark Strait" sunk
California "Surigao Strait" ok
"Duke of York" "North Cape" ok
Fuso "Surigao Strait" sunk
Hood "Denmark Strait" sunk
"King George V" "Denmark Strait" ok
Kirishima Guadalcanal sunk
"Prince of Wales" "Denmark Strait" damaged
Rodney "Denmark Strait" ok
Scharnhorst "North Cape" sunk
"South Dakota" Guadalcanal damaged
Tennessee "Surigao Strait" ok
Washington Guadalcanal ok
"West Virginia" "Surigao Strait" ok
Yamashiro "Surigao Strait" sunk
